아이디,ori_아이디,전국,광주,전국구,광주구,광주 광산구,광주 남구,광주 동구,광주 북구,광주 서구,아동,청소년,청년,중장년,노년,학생,무직,창업,농어업인,중소기업,일반,자녀여부 있음,자녀여부 없음,무주택자,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,저소득,한부모/조손,신용불량자,독거노인,취약계층,해당없음,일자리,주거,일상생활,신체건강 및 보건의료,정신건강 및 심리정서,사업목적해당없음,안전 및 권익보장,문화 및 여가,보육 및 교육,보호 및 돌봄/요양
1954,479000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1955,479000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1956,479000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1957,479000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1958,479000000000,전국,@,전국구,@,@,@,@,@,@,@,@,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,@,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1959,479000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1960,479000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1961,480000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1962,480000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1963,480000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1964,480000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1965,480000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1966,481000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1967,481000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1968,481000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1969,481000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1970,481000000000,전국,@,전국구,@,@,@,@,@,@,@,@,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,@,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1971,481000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1972,481000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1973,481000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1974,481000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1975,482000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1976,482000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1977,482000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1978,482000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1979,482000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1980,482000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1981,482000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1982,482000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1983,482000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1984,482000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1985,483000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1986,483000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1987,483000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1988,483000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1989,483000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1990,483000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1991,483000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1992,483000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1993,483000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1994,483000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1995,483000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1996,483000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1997,483000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1998,483000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
1999,483000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2000,484000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2001,484000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2002,484000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2003,484000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2004,484000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,학생,@,@,@,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2005,484000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2006,484000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2007,484000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2008,484000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2009,484000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2010,484000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2011,484000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2012,484000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2013,484000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2014,485000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2015,485000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2016,485000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2017,485000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2018,485000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2019,485000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2020,485000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2021,485000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2022,485000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2023,485000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2024,485000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2025,485000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2026,485000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2027,485000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2028,485000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2029,485000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2030,486000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2031,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2032,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,중소기업,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2033,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2034,486000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2035,486000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2036,486000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2037,486000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2038,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2039,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2040,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2041,486000000000,전국,@,전국구,@,@,@,@,@,@,@,@,@,@,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,@,@,@,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2042,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2043,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2044,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2045,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2046,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,노년,@,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2047,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2048,486000000000,전국,@,전국구,@,@,@,@,@,@,@,청소년,청년,중장년,@,@,@,@,@,중소기업,@,@,자녀없음/상관없음,@,@,미취학,다문화/탈북민,다자녀,@,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
2049,487000000000,전국,@,전국구,@,@,@,@,@,@,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,@,임산부,미취학,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,@,@,@,@,@,@,@,@,@,@,@,사업목적해당없음,@,@,@,@
